month,date,name,location
12,18,周口马拉松,周口
11,20,舟山群岛马拉松,舟山
3,20,重庆国际马拉松赛,重庆
4,24,挑战100一起跑,重庆
5,8,欢乐跑·10公里锦标赛系列赛,重庆
9,10,重庆万盛国际跑步节,重庆
10,23,重庆国际女子半程马拉松赛,重庆
10,23,重庆国际女子半程马拉松,重庆
12,4,重庆国际半程马拉松,重庆
11,27,中山国际马拉松赛,中山
3,27,郑开国际马拉松,郑州
11,13,嵩山少林国际马拉松,郑州
10,16,镇江马拉松,镇江
11,19,镇江环金山湖国际半程马拉松,镇江
5,8,肇庆国际半程马拉松,肇庆
5,10,湖南宁乡国际半程马拉松,长沙
5,22,橘子洲半程马拉松,长沙
10,30,长沙国际马拉松,长沙
11,6,宜章醉美莽山山地马拉松,长沙
12,25,长沙半程马拉松,长沙
6,19,长春净月潭森林马拉松,长春
6,11,首届东山岛国际半程马拉松赛,漳州
10,23,东山岛国际越野赛,漳州
10,29,闽南国际山地马拉松,漳州
3,5,SNOWRUN野雪跑,张家口
7,23,MAXi·崇礼国际双人越野赛挑战赛,张家口
7,30,张家口康保草原国际马拉松,张家口
8,13,崇礼100天路超级越野挑战赛,张家口
8,14,崇礼山地马拉松越野挑战赛,张家口
10,16,枣庄国际马拉松,枣庄
5,15,榆林马拉松,榆林
5,21,营口·鲅鱼圈国际马拉松,营口
4,3,远安国际田野马拉松,宜昌
10,23,宜昌国际马拉松,宜昌
9,11,伊春国际森林萨马拉松赛,伊春
4,10,杨凌农科城国际马拉松赛,杨凌
3,27,阳江海陵岛环岛国际马拉松,阳江
4,24,扬州鉴真国际半程马拉松赛,扬州
5,29,江苏东台半程马拉松赛,盐城
9,25,森林马拉松系列赛,延边朝鲜族自治州
5,29,烟台·福山大樱桃半程马拉松,烟台
9,11,烟台长岛环岛马拉松,烟台
9,24,烟台蓬莱葡萄酒半程马拉松,烟台
9,27,烟台国际马拉松,烟台
10,16,烟台龙口国际马拉松,烟台
4,17,油菜花马拉松,宣城
5,29,徐州国际马拉松,徐州
10,16,新沂国际半程马拉松,徐州
11,5,中国矿业大学第四届半程马拉松,徐州
11,6,邳州国际半程马拉松,徐州
10,2,宿州国际半程马拉松,宿州
5,8,泗洪生态湿地国际半程马拉松,宿迁
8,27,首届宿迁荧光半程马拉松,宿迁
